lga_code20,lga_name20,lga_type20,area_sqkm,latitude,longitude
<<<<<<< HEAD
50840,Bridgetown-Greenbushes,S,1337.361,-34.00378095,116.1909901
50910,Brookton,S,1601.1532,-32.36199532,117.0030892
50980,Broome,S,54401.8236,-18.67021853,122.4636796
51080,Broomehill-Tambellup,S,2609.6585,-34.00250967,117.6613186
51120,Bruce Rock,S,2724.6944,-31.95258954,118.02863
51190,Bunbury,C,65.4163,-33.35164656,115.664394
51260,Busselton,C,1454.0505,-33.71844401,115.3488598
51310,Cambridge,T,21.9554,-31.93627865,115.7863994
51330,Canning,C,64.8789,-32.03689462,115.916351
51400,Capel,S,557.8983,-33.53235059,115.6357198
51470,Carnamah,S,2870.9247,-29.77322287,115.5778324
51540,Carnarvon,S,46574.6082,-24.34996371,114.3910287
51610,Chapman Valley,S,3981.3333,-28.32237686,115.0591262
51680,Chittering,S,1219.9032,-31.37439472,116.0783362
51750,Claremont,T,4.9556,-31.9801491,115.779976
51820,Cockburn,C,167.8989,-32.11430928,115.7929531
51890,Collie,S,1709.8149,-33.28355478,116.2115661
51960,Coolgardie,S,30297.6977,-31.18678543,120.964463
52030,Coorow,S,4189.8791,-30.02161616,115.7592142
52100,Corrigin,S,2681.2709,-32.35836673,117.7990292
52170,Cottesloe,T,3.8564,-31.99400324,115.7584961
52240,Cranbrook,S,3276.0491,-34.31481842,117.285873
52310,Cuballing,S,1195.337,-32.73540941,117.1591741
52380,Cue,S,13582.1956,-27.31082065,117.9400408
52450,Cunderdin,S,1862.4458,-31.59958143,117.1557198
52520,Dalwallinu,S,7224.3566,-30.12524679,116.9447543
52590,Dandaragan,S,6711.5721,-30.53961369,115.50607
52660,Dardanup,S,525.8017,-33.41542499,115.8519147
52730,Denmark,S,1859.8488,-34.89048459,117.1188282
52800,Derby-West Kimberley,S,119730.9697,-17.79105655,124.977508
52870,Donnybrook-Balingup,S,1559.8561,-33.66955307,115.973538
52940,Dowerin,S,1863.0851,-31.10765635,117.1112682
53010,Dumbleyung,S,2539.2249,-33.22450145,117.9645274
53080,Dundas,S,92885.0302,-32.01133557,124.417878
53150,East Fremantle,T,3.1384,-32.03794023,115.7681674
53220,East Pilbara,S,372307.466,-21.76848399,123.5966594
